symbol,industry_name,industry_code,updated_at,source
002536.SZ,汽车制造业,C36,2026-03-18T23:31:19.527678,cninfo_industry_change
002539.SZ,化学原料和化学制品制造业,C26,2026-03-18T23:31:19.593950,cninfo_industry_change
002513.SZ,光伏设备,20301010,2026-03-18T23:31:19.620258,cninfo_industry_change
002541.SZ,金属制品业,C33,2026-03-18T23:31:19.721002,cninfo_industry_change
002540.SZ,有色金属冶炼和压延加工业,C32,2026-03-18T23:31:19.732708,cninfo_industry_change
002514.SZ,金属制品业,C33,2026-03-18T23:31:19.753999,cninfo_industry_change
002519.SZ,计算机、通信和其他电子设备制造业,C39,2026-03-18T23:31:19.821518,cninfo_industry_change
002544.SZ,软件和信息技术服务业,I65,2026-03-18T23:31:19.871123,cninfo_industry_change
002379.SZ,有色金属冶炼和压延加工业,C32,2026-03-18T23:31:19.906394,cninfo_industry_change
002546.SZ,仪器仪表制造业,C40,2026-03-18T23:31:19.944769,cninfo_industry_change
002381.SZ,橡胶和塑料制品业,C29,2026-03-18T23:31:19.963809,cninfo_industry_change
002526.SZ,专用设备制造业,C35,2026-03-18T23:31:19.992156,cninfo_industry_change
002548.SZ,农副食品加工业,C13,2026-03-18T23:31:20.029572,cninfo_industry_change
002550.SZ,医药制造业,C27,2026-03-18T23:31:20.107050,cninfo_industry_change
002531.SZ,电气机械和器材制造业,C38,2026-03-18T23:31:20.115485,cninfo_industry_change
002549.SZ,生态保护和环境治理业,N77,2026-03-18T23:31:20.143031,cninfo_industry_change
002552.SZ,计算机、通信和其他电子设备制造业,C39,2026-03-18T23:31:20.168144,cninfo_industry_change
002551.SZ,专用设备制造业,C35,2026-03-18T23:31:20.191132,cninfo_industry_change
002529.SZ,汽车零配件,Z04010101,2026-03-18T23:31:20.192132,cninfo_industry_change
002554.SZ,开采专业及辅助性活动,B11,2026-03-18T23:31:20.256575,cninfo_industry_change
002538.SZ,化学原料和化学制品制造业,C26,2026-03-18T23:31:20.303741,cninfo_industry_change
002555.SZ,互联网和相关服务,I64,2026-03-18T23:31:20.314695,cninfo_industry_change
002556.SZ,零售业,F52,2026-03-18T23:31:20.316695,cninfo_industry_change
002393.SZ,医药制造业,C27,2026-03-18T23:31:20.327125,cninfo_industry_change
002543.SZ,电气机械和器材制造业,C38,2026-03-18T23:31:20.393537,cninfo_industry_change
002559.SZ,通用设备制造业,C34,2026-03-18T23:31:20.403144,cninfo_industry_change
002547.SZ,汽车零配件,Z04010101,2026-03-18T23:31:20.482726,cninfo_industry_change
002385.SZ,农副食品加工业,C13,2026-03-18T23:31:20.496459,cninfo_industry_change
002557.SZ,农副食品加工业,C13,2026-03-18T23:31:20.498459,cninfo_industry_change
002560.SZ,电气机械和器材制造业,C38,2026-03-18T23:31:20.520980,cninfo_industry_change
002561.SZ,零售业,F52,2026-03-18T23:31:20.568683,cninfo_industry_change
002565.SZ,纸材料包装,Z02020202,2026-03-18T23:31:20.599019,cninfo_industry_change
002563.SZ,纺织服装、服饰业,C18,2026-03-18T23:31:20.600007,cninfo_industry_change
002567.SZ,农副食品加工业,C13,2026-03-18T23:31:20.619022,cninfo_industry_change
002566.SZ,医药制造业,C27,2026-03-18T23:31:20.633492,cninfo_industry_change
002564.SZ,专用设备制造业,C35,2026-03-18T23:31:20.769623,cninfo_industry_change
002562.SZ,医药制造业,C27,2026-03-18T23:31:20.798348,cninfo_industry_change
002571.SZ,非金属矿物制品业,C30,2026-03-18T23:31:20.819371,cninfo_industry_change
002576.SZ,电气机械和器材制造业,C38,2026-03-18T23:31:20.832469,cninfo_industry_change
002572.SZ,家具制造业,C21,2026-03-18T23:31:20.880148,cninfo_industry_change
002577.SZ,计算机、通信和其他电子设备制造业,C39,2026-03-18T23:31:20.964423,cninfo_industry_change
002409.SZ,集成电路,Z08030101,2026-03-18T23:31:21.014011,cninfo_industry_change
002580.SZ,电气机械和器材制造业,C38,2026-03-18T23:31:21.051648,cninfo_industry_change
002573.SZ,节能与资源回收,20502010,2026-03-18T23:31:21.054591,cninfo_industry_change
002574.SZ,文教、工美、体育和娱乐用品制造业,C24,2026-03-18T23:31:21.071065,cninfo_industry_change
002581.SZ,医药制造业,C27,2026-03-18T23:31:21.102462,cninfo_industry_change
002575.SZ,专营零售,25502010,2026-03-18T23:31:21.103461,cninfo_industry_change
002583.SZ,计算机、通信和其他电子设备制造业,C39,2026-03-18T23:31:21.228323,cninfo_industry_change
002415.SZ,计算机、通信和其他电子设备制造业,C39,2026-03-18T23:31:21.272016,cninfo_industry_change
002587.SZ,计算机、通信和其他电子设备制造业,C39,2026-03-18T23:31:21.303039,cninfo_industry_change
002586.SZ,土木工程建筑业,E48,2026-03-18T23:31:21.304039,cninfo_industry_change
